ROSETTA RUST SEC,Secondary
ROTA,Secondary
ROTA,Primary
ROWA,Secondary
ROWA,Primary
ROYDEN,Primary
ROYDEN,Secondary
RUBATSIRO,Primary
RUBWERUCHENA,Primary
RUBWERUCHENA,Secondary
RUCHANYU,Primary
RUCHANYU,Secondary
RUCHERA,Secondary
RUCHERA,Primary
RUDA,Primary
RUDAWIRO,Secondary
RUDAWIRO,Primary
RUDHANDA,Primary
RUDHANDA,Secondary
RUFARO,Primary
RUFARO,Secondary
RUFARO,Secondary
RUFARO,Secondary
RUFARO (KASANGO),Secondary
RUFARO PRIMARY,Primary
RUGARE,Primary
RUGORA,Primary
RUGOYI ST LUCY,Primary
RUHWERUMWE(Kadzunge),Secondary
RUJEKO,Primary
RUJEKO,Primary
RUJEKO,Secondary
RUJEKO,Secondary
RUJEKO PRIMARY,Primary
RUKANDA,Primary
RUKANGARE,Primary
RUKANGE,Primary
RUKARIRO,Primary
RUKARIRO,Secondary
RUKAU,Secondary
RUKAU,Primary
RUKOBA,Primary
RUKOBA,Secondary
RUKONDE,Primary
RUKOPE,Primary
RUKOVO,Secondary
RUKUDZO,Primary
RUKUMA,Secondary
RUKUNGUHWE,Primary
RUKURURWI,Primary
RUKWEZA,Primary
RUKWEZA,Secondary
RUMANJE,Primary
RUMANO,Primary
RUMHIZHA,Secondary
RUMINYA,Secondary
RUMWANDA,Secondary
RUMWANDA PRIMARY,Primary
RUNDE,Primary
RUNENE,Primary
RUNENE SEC,Secondary
RUNESU PRIMARY,Primary
RUNGAI PRIMARY,Primary
RUNHENGU,Primary
RUNWA,Primary
RUNYARARO,Primary
RUNYARARO,Primary
RUPANGE,Primary
